Date,SPY,TSLA,BABA,AMZN
2016-12-19,225.53,202.73,88.93,766.0
2016-12-20,226.4,208.79,89.84,771.22
2016-12-21,225.77,207.7,89.25,770.6
2016-12-22,225.38,208.45,86.8,766.34
2016-12-23,225.71,213.34,86.79,760.59
2016-12-27,226.27,219.53,87.54,771.4
2016-12-28,224.4,219.74,87.37,772.13
2016-12-29,224.35,214.68,87.33,765.15
2016-12-30,223.53,213.69,87.81,749.87
2017-01-03,225.24,216.99,88.6,753.67
2017-01-04,226.58,226.99,90.51,757.18
2017-01-05,226.4,226.75,94.37,780.45
2017-01-06,227.21,229.01,93.89,795.99
2017-01-09,226.46,231.28,94.72,796.92
2017-01-10,226.46,229.87,96.75,795.9
2017-01-11,227.1,229.73,96.94,799.02
2017-01-12,226.53,229.59,95.9,813.64
2017-01-13,227.05,237.75,96.27,817.14
2017-01-17,226.25,235.58,96.12,809.72
2017-01-18,226.75,238.36,96.0,807.48
2017-01-19,225.91,243.76,96.17,809.04
2017-01-20,226.74,244.73,96.06,808.33
2017-01-23,226.15,248.92,98.41,817.88
2017-01-24,227.6,254.61,101.43,822.44
2017-01-25,229.57,254.47,104.06,836.52
2017-01-26,229.33,252.51,102.75,839.15
2017-01-27,228.97,252.95,102.07,835.77
2017-01-30,227.55,250.63,101.02,830.38
2017-01-31,227.53,251.93,101.31,823.48
2017-02-01,227.62,249.24,101.57,832.35
2017-02-02,227.77,251.55,100.84,839.95
2017-02-03,229.34,251.33,100.39,810.2
2017-02-06,228.93,257.77,100.9,807.64
2017-02-07,228.94,257.48,100.83,812.5
2017-02-08,229.24,262.08,103.57,819.71
2017-02-09,230.6,269.2,103.34,821.36
2017-02-10,231.51,269.23,102.36,827.46
2017-02-13,232.77,280.6,103.1,836.53
2017-02-14,233.7,280.98,101.59,836.39
2017-02-15,234.92,279.76,101.55,842.7
2017-02-16,234.72,268.95,100.82,844.14
2017-02-17,235.09,272.23,100.52,845.07
2017-02-21,236.49,277.39,102.12,856.44
2017-02-22,236.28,273.51,104.2,855.61
2017-02-23,236.44,255.99,102.46,852.19
2017-02-24,236.74,257.0,102.95,845.24
2017-02-27,237.11,246.23,103.6,848.64
2017-02-28,236.47,249.99,102.9,845.04
2017-03-01,239.78,250.02,104.04,853.08
2017-03-02,238.27,250.48,103.19,848.91
2017-03-03,238.42,251.57,103.31,849.88
2017-03-06,237.71,251.21,102.31,846.61
2017-03-07,237.0,248.59,102.63,846.02
2017-03-08,236.56,246.87,103.22,850.5
2017-03-09,236.86,244.9,103.24,853.0
2017-03-10,237.69,243.69,103.39,852.46
2017-03-13,237.81,246.17,105.18,854.59
2017-03-14,236.9,258.0,104.25,852.53
2017-03-15,238.95,255.73,103.69,852.97
2017-03-16,238.48,262.05,105.63,853.42
2017-03-17,237.03,261.5,105.61,852.31
2017-03-20,236.77,261.92,107.25,856.97
2017-03-21,233.73,250.68,105.09,843.2
2017-03-22,234.28,255.01,106.09,848.06
2017-03-23,234.03,254.78,108.25,847.38
2017-03-24,233.86,263.16,108.04,845.61
2017-03-27,233.62,270.22,108.08,846.82
2017-03-28,235.32,277.45,107.8,856.0
2017-03-29,235.54,277.38,109.51,874.32
2017-03-30,236.29,277.92,108.85,876.34
2017-03-31,235.74,278.3,107.83,886.54
2017-04-03,235.33,298.52,108.09,891.51
2017-04-04,235.48,303.7,107.52,906.83
2017-04-05,234.78,295.0,107.44,909.28
2017-04-06,235.44,298.7,108.04,898.28
2017-04-07,235.2,302.54,108.99,894.88
2017-04-10,235.34,312.39,111.7,907.04
2017-04-11,235.06,308.71,110.44,902.36
2017-04-12,234.03,296.84,110.63,896.23
2017-04-13,232.51,304.0,110.21,884.67
2017-04-17,234.57,301.44,111.76,901.99
2017-04-18,233.87,300.25,111.23,903.78
2017-04-19,233.44,305.52,110.76,899.2
2017-04-20,235.34,302.51,112.96,902.06
2017-04-21,234.59,305.6,113.11,898.53
2017-04-24,237.17,308.03,114.86,907.41
2017-04-25,238.55,313.79,115.48,907.62
2017-04-26,238.4,310.17,114.97,909.29
2017-04-27,238.6,308.63,115.43,918.38
2017-04-28,238.08,314.07,115.5,924.99
2017-05-01,238.68,322.83,116.68,948.23
2017-05-02,238.77,318.89,118.09,946.94
2017-05-03,238.48,311.02,116.57,941.03
2017-05-04,238.76,295.46,115.86,937.53
2017-05-05,239.7,308.35,116.04,934.15
2017-05-08,239.66,307.19,116.86,949.04
2017-05-09,239.44,321.26,120.0,952.82
2017-05-10,239.87,325.22,119.98,948.95
2017-05-11,239.38,323.1,120.16,947.62
2017-05-12,238.98,324.81,120.34,961.35
2017-05-15,240.3,315.88,121.4,957.97
2017-05-16,240.08,317.01,124.02,966.07
2017-05-17,235.82,306.11,120.72,944.76
